"State","Year","PacksPerCapita"
"Alabama",1970,89.8
"Arkansas",1970,100.3
"Colorado",1970,124.8
"Connecticut",1970,120
"Delaware",1970,155
"Georgia",1970,109.9
"Idaho",1970,102.4
"Illinois",1970,124.8
"Indiana",1970,134.6
"Iowa",1970,108.5
"Kansas",1970,114
"Kentucky",1970,155.8
"Louisiana",1970,115.9
"Maine",1970,128.5
"Minnesota",1970,104.3
"Mississippi",1970,93.4
"Missouri",1970,121.3
"Montana",1970,111.2
"Nebraska",1970,108.1
"Nevada",1970,189.5
"New Hampshire",1970,265.7
"New Mexico",1970,90
"North Carolina",1970,172.4
"North Dakota",1970,93.8
"Ohio",1970,121.6
"Oklahoma",1970,108.4
"Pennsylvania",1970,107.3
"Rhode Island",1970,123.9
"South Carolina",1970,103.6
"South Dakota",1970,92.7
"Tennessee",1970,99.8
"Texas",1970,106.4
"Utah",1970,65.5
"Vermont",1970,122.6
"Virginia",1970,124.3
"West Virginia",1970,114.5
"Wisconsin",1970,106.4
"Wyoming",1970,132.2
"California",1970,123
"Alabama",1971,95.4
"Arkansas",1971,104.1
"Colorado",1971,125.5
"Connecticut",1971,117.6
"Delaware",1971,161.1
"Georgia",1971,115.7
"Idaho",1971,108.5
"Illinois",1971,125.6
"Indiana",1971,139.3
"Iowa",1971,108.4
"Kansas",1971,102.8
"Kentucky",1971,163.5
"Louisiana",1971,119.8
"Maine",1971,133.2
"Minnesota",1971,116.4
"Mississippi",1971,105.4
"Missouri",1971,127.6
"Montana",1971,115.6
"Nebraska",1971,108.6
"Nevada",1971,190.5
"New Hampshire",1971,278
"New Mexico",1971,92.6
"North Carolina",1971,187.6
"North Dakota",1971,98.5
"Ohio",1971,124.6
"Oklahoma",1971,115.4
"Pennsylvania",1971,106.3
"Rhode Island",1971,123.2
"South Carolina",1971,115
"South Dakota",1971,96.7
"Tennessee",1971,106.3
"Texas",1971,108.9
"Utah",1971,67.7
"Vermont",1971,124.4
"Virginia",1971,128.4
"West Virginia",1971,111.5
"Wisconsin",1971,105.4
"Wyoming",1971,131.7
"California",1971,121
"Alabama",1972,101.1
"Arkansas",1972,103.9
"Colorado",1972,134.3
"Connecticut",1972,110.8
"Delaware",1972,156.3
"Georgia",1972,117
"Idaho",1972,126.1
"Illinois",1972,126.6
"Indiana",1972,149.2
"Iowa",1972,109.4
"Kansas",1972,111
"Kentucky",1972,179.4
"Louisiana",1972,125.3
"Maine",1972,136.5
"Minnesota",1972,96.8
"Mississippi",1972,112.1
"Missouri",1972,130
"Montana",1972,122.2
"Nebraska",1972,104.9
"Nevada",1972,198.6
"New Hampshire",1972,296.2
"New Mexico",1972,99.3
"North Carolina",1972,214.1
"North Dakota",1972,103.8
"Ohio",1972,124.4
"Oklahoma",1972,121.7
"Pennsylvania",1972,109
"Rhode Island",1972,134.4
"South Carolina",1972,118.7
"South Dakota",1972,103
"Tennessee",1972,111.5
"Texas",1972,108.6
"Utah",1972,71.3
"Vermont",1972,138
"Virginia",1972,137
"West Virginia",1972,117.5
"Wisconsin",1972,108.8
"Wyoming",1972,140
"California",1972,123.5
"Alabama",1973,102.9
"Arkansas",1973,108
"Colorado",1973,137.9
"Connecticut",1973,109.3
"Delaware",1973,154.7
"Georgia",1973,119.8
"Idaho",1973,121.8
"Illinois",1973,124.4
"Indiana",1973,156
"Iowa",1973,110.6
"Kansas",1973,115.2
"Kentucky",1973,201.9
